AGE,HEIGHT_CM,WEIGHT_KG,SKILL_DRIBBLING,ATTACKING_CROSSING,ATTACKING_FINISHING,MOVEMENT_ACCELERATION,MOVEMENT_SPRINT_SPEED,POWER_SHOT_POWER,MENTALITY_AGGRESSION,DEFENDING_MARKING,DEFENDING_STANDING_TACKLE,GOALKEEPING_DIVING,GOALKEEPING_HANDLING,OVERALL,POTENTIAL
31,184,76,65,61,58,64,34,61,74,73,70,10,15,73,73
27,195,95,63,27,74,68,54,76,52,34,11,6,7,71,72
26,167,70,66,60,22,90,83,54,84,70,72,11,7,72,73
22,185,79,73,72,74,72,80,76,42,37,24,8,13,75,82
27,185,67,71,57,58,70,71,60,50,60,55,12,11,72,73
29,176,70,70,74,39,59,44,58,71,75,74,16,10,73,73
29,184,75,59,46,56,63,63,82,76,83,82,7,11,77,77
25,182,76,73,71,73,74,78,76,49,36,33,6,7,73,76
24,180,70,63,68,37,74,79,49,65,64,74,13,9,72,76
23,183,74,69,53,58,74,73,60,69,66,72,11,11,71,76
28,182,78,70,70,69,66,70,73,83,71,68,7,16,73,73
37,189,83,64,65,60,43,32,81,88,72,74,15,13,73,73
27,188,78,45,61,41,52,63,71,80,79,75,7,15,76,76
33,175,73,69,74,53,69,69,74,67,68,75,8,11,74,74
22,178,78,75,74,52,87,89,79,82,72,73,13,16,76,86
23,180,69,83,69,69,77,84,76,76,67,69,12,14,79,85
25,190,77,75,64,54,62,60,76,74,77,78,12,6,78,81
25,185,77,69,58,74,65,63,75,54,24,10,12,13,72,75
24,186,84,57,43,33,65,68,60,85,77,80,9,9,78,82
26,196,88,45,37,51,61,63,46,71,70,65,8,14,73,76
32,182,86,85,78,91,76,70,88,87,57,45,27,25,89,89
26,180,73,76,71,70,73,77,77,64,57,55,14,11,77,78
24,185,73,77,66,68,79,83,71,24,28,26,14,8,75,80
26,174,76,59,49,37,72,66,67,73,64,72,11,14,71,74
30,186,78,59,65,33,71,72,77,83,69,64,8,8,71,71
27,188,83,48,31,39,64,68,48,73,75,77,12,14,76,79
24,175,67,69,62,51,73,70,73,68,72,71,12,13,75,81
30,185,70,72,70,77,65,61,71,51,40,38,8,12,75,75
25,192,92,10,11,10,25,38,49,27,20,13,69,68,70,75
31,187,91,77,69,78,68,74,86,85,59,51,8,15,80,80
29,177,81,75,64,60,63,55,77,74,69,75,12,6,77,77
27,189,93,76,54,84,66,71,84,75,40,32,15,14,82,83
23,196,92,21,21,17,45,49,47,34,19,14,72,72,72,79
21,187,82,74,63,53,65,71,64,84,76,77,8,11,76,84
25,185,76,57,53,31,69,71,52,70,74,72,14,12,70,75
26,176,83,71,72,52,73,78,68,61,62,71,6,8,71,73
26,182,71,74,76,60,75,79,69,76,70,75,10,16,77,78
25,189,85,63,58,45,61,66,68,79,88,89,10,11,87,90
29,172,76,77,81,72,75,72,76,77,69,68,15,8,75,75
32,191,83,13,18,11,30,36,53,40,16,11,69,68,71,71
31,176,69,61,73,52,82,79,59,61,70,72,10,7,71,71
28,174,70,90,78,69,76,64,76,56,67,67,6,11,87,87
26,185,74,71,51,70,76,79,66,61,30,40,6,6,71,74
21,193,88,66,45,41,50,52,68,78,70,71,11,5,71,84
30,191,84,46,50,55,64,65,78,82,81,82,6,10,82,82
21,183,62,80,76,73,74,75,70,64,47,49,8,14,77,86
33,183,76,69,54,39,53,48,67,72,83,79,11,9,79,79
28,190,83,74,71,72,76,88,88,72,62,28,15,7,73,73
26,193,78,65,36,39,66,75,50,75,79,82,8,7,79,82
27,178,73,64,72,50,81,78,70,54,64,66,13,12,70,71
23,175,77,79,72,76,88,86,74,59,34,33,13,12,76,80
24,178,72,62,62,56,49,47,66,70,58,59,8,13,70,73
24,179,79,72,62,55,72,70,78,79,70,72,6,14,73,78
26,180,76,86,72,73,77,83,76,65,68,37,9,9,77,78
24,181,75,80,64,79,70,68,76,60,63,66,15,12,77,83
30,182,81,73,50,50,79,66,69,84,75,72,11,12,76,76
31,189,80,68,74,27,64,75,74,80,75,78,12,8,74,74
23,193,80,47,41,56,68,69,52,68,67,70,14,10,70,76
22,175,70,71,66,45,80,84,52,75,69,71,6,12,71,77
23,178,68,71,68,60,77,77,79,78,65,67,12,7,71,78
27,186,73,60,48,77,65,66,70,47,14,18,16,12,72,73
23,191,77,71,40,75,64,69,77,60,32,29,13,11,74,81
27,172,68,73,73,63,74,72,67,56,57,60,15,12,72,72
35,187,79,22,51,29,60,62,56,79,64,73,14,18,71,71
24,179,67,66,70,73,56,60,71,58,61,66,12,10,72,76
40,178,83,16,24,17,45,46,52,31,20,12,71,69,71,71
30,175,70,70,73,71,65,58,73,72,55,73,6,13,75,75
30,189,96,44,44,50,52,56,65,84,70,68,12,13,71,71
23,180,73,77,75,62,76,73,70,74,64,68,6,15,75,79
34,172,62,75,64,65,85,87,58,81,56,59,6,8,72,72
25,180,74,66,51,52,63,68,74,67,65,65,6,13,70,75
31,180,78,73,71,71,86,80,74,43,36,29,16,10,74,74
33,185,78,47,51,45,60,62,65,76,67,70,16,7,70,70
32,179,73,63,43,41,55,50,65,83,72,77,7,8,75,75
31,193,86,14,11,13,42,42,49,27,9,15,65,70,70,70
31,180,78,75,74,64,74,75,72,60,35,31,9,14,72,72
26,177,69,76,60,67,73,69,73,42,44,34,14,16,72,73
25,193,78,76,69,80,81,84,74,84,55,59,6,11,81,83
33,195,95,16,13,11,37,40,54,35,14,16,82,73,78,78
27,188,77,40,25,16,51,48,39,76,70,75,14,11,71,74
27,178,76,69,59,69,85,81,74,76,40,41,11,9,71,71
32,181,72,55,40,45,69,68,51,80,81,81,11,8,79,79
27,184,73,75,69,75,72,72,77,76,30,44,14,16,76,76
34,181,75,72,72,52,52,48,57,78,76,66,6,16,75,75
34,175,80,69,53,44,60,66,70,88,76,75,7,7,75,75
22,184,70,67,65,49,72,73,58,61,70,74,11,9,72,83
27,177,80,78,67,63,73,82,81,80,79,77,14,9,81,83
28,184,82,57,52,39,70,72,63,81,74,78,9,15,74,76
30,171,74,76,69,65,71,71,66,86,75,75,15,8,79,79
34,170,64,71,70,64,68,66,68,36,43,37,15,11,70,70
26,172,66,87,78,73,92,94,75,47,52,47,9,11,82,83
28,179,79,73,70,65,76,83,74,62,38,52,13,7,71,71
28,173,76,68,74,52,69,73,54,73,62,70,15,11,72,72
26,181,69,70,62,68,60,61,70,58,53,74,7,13,74,76
24,180,74,71,65,66,74,72,70,61,54,64,10,9,71,76
29,166,56,76,60,66,84,83,65,31,49,42,9,15,73,73
22,177,76,76,70,77,77,77,75,52,34,34,15,7,75,83
29,172,73,78,76,61,74,70,72,72,70,71,15,15,78,78
23,177,72,70,65,59,82,85,61,44,40,37,7,7,70,75
27,183,77,52,35,24,63,67,50,68,70,76,15,6,71,74
29,175,75,68,68,40,75,69,79,76,76,75,11,10,73,73
19,183,76,71,73,34,85,88,79,74,67,68,8,13,72,84
33,182,75,47,57,22,49,52,67,80,68,71,16,8,70,70
20,170,67,77,64,51,83,74,58,40,53,41,6,12,71,86
24,183,79,71,53,72,68,66,76,41,44,17,13,13,72,79
34,191,81,46,39,35,40,60,46,84,77,79,15,5,79,79
23,193,80,68,60,46,51,55,63,77,70,73,15,6,72,79
22,172,72,76,78,56,91,88,72,66,68,68,9,5,73,80
28,173,71,74,86,48,75,74,75,70,75,82,11,14,80,80
25,189,84,44,33,25,57,55,40,88,74,75,11,9,76,82
28,188,78,63,50,72,66,69,74,56,25,21,12,14,71,71
28,176,74,69,68,41,76,74,62,71,70,71,7,15,72,72
30,182,74,79,84,80,49,35,79,58,69,68,5,9,86,86
27,187,92,39,40,28,46,60,52,90,72,75,13,10,76,77
23,193,84,53,25,16,58,55,35,78,65,73,10,7,73,78
35,177,75,78,81,48,83,76,52,62,79,78,15,13,79,79
35,185,81,73,85,57,68,69,82,89,74,82,15,13,78,78
36,184,74,11,17,14,48,46,55,28,20,11,75,73,76,76
38,185,86,14,11,9,26,27,50,36,21,11,70,76,73,73
30,193,88,66,29,71,50,53,71,73,29,21,11,10,72,72
24,184,83,72,76,49,90,92,66,74,69,76,8,7,77,83
30,186,78,70,56,70,54,48,78,74,67,66,14,8,74,74
22,184,78,75,81,66,85,85,68,76,72,76,7,7,79,85
31,185,83,67,62,73,62,60,73,78,44,39,13,9,73,73
28,194,81,16,15,14,45,44,60,24,22,20,80,77,80,83
21,182,73,72,70,51,65,66,72,74,65,67,14,11,72,80
26,178,73,66,66,26,77,78,57,66,67,68,7,7,70,72
22,184,75,69,36,73,83,84,73,62,22,17,10,8,72,81
20,169,65,64,61,55,76,73,65,78,67,66,7,15,71,81
22,183,80,53,47,24,65,66,59,70,68,70,13,13,70,81
31,190,83,65,28,24,39,34,43,73,76,77,9,11,76,76
27,180,77,46,37,43,66,60,56,71,71,70,12,14,72,73
33,192,84,67,68,44,49,65,64,81,79,83,15,9,82,82
34,180,74,72,66,79,56,58,78,73,38,41,13,13,76,76
27,180,78,73,73,70,79,79,68,78,21,17,9,7,72,72
24,168,84,73,66,60,80,79,66,59,32,18,15,8,70,76
29,183,81,69,62,55,57,50,73,84,71,74,15,11,75,75
31,194,89,13,12,27,41,46,47,25,13,15,80,77,78,78
32,179,70,76,64,71,77,79,75,69,56,40,10,16,73,73
24,175,64,80,74,68,79,68,79,67,36,31,7,8,74,77
24,194,80,35,39,24,64,63,50,68,68,74,9,9,70,76
22,184,75,14,22,15,58,55,51,25,13,17,73,71,73,80
22,181,78,85,82,86,74,76,80,52,55,32,10,6,82,89
29,176,72,73,71,66,75,76,66,39,25,20,7,14,71,71
22,182,74,69,40,68,71,71,77,42,23,21,11,11,71,78
29,186,75,75,79,87,69,75,78,61,44,57,6,7,86,86
29,185,80,76,65,72,71,73,81,84,81,82,6,10,82,82
26,191,84,87,80,75,67,79,90,78,63,67,5,6,88,91
25,186,85,82,55,54,78,87,61,67,49,39,11,11,70,73
27,197,86,13,10,5,36,33,53,22,10,11,77,73,77,80
27,182,70,80,76,66,73,71,71,50,25,24,12,6,74,74
29,177,74,80,80,77,69,72,77,53,51,35,10,12,78,78
26,178,72,79,71,70,82,78,75,38,17,23,13,7,75,76
27,199,96,13,14,14,46,52,54,23,20,18,85,89,88,89
27,178,75,78,72,66,73,72,76,61,68,73,9,14,75,76
29,178,74,64,68,21,75,77,43,71,67,70,13,14,72,72
31,188,83,70,64,53,64,66,64,61,73,73,11,13,71,71
23,185,76,65,48,48,57,62,77,82,70,74,10,8,73,80
28,186,84,77,52,79,75,76,85,87,54,42,7,13,80,80
24,169,67,73,64,63,79,77,64,41,59,34,9,11,70,73
23,186,81,70,48,71,82,85,73,44,17,29,8,15,73,80
23,185,76,21,20,16,61,58,50,23,24,13,75,69,73,80
27,186,81,58,35,28,65,65,74,82,70,68,10,14,71,71
22,183,84,72,70,49,68,68,76,76,66,69,13,13,72,78
26,195,87,12,14,16,28,36,50,32,15,13,72,71,72,75
27,170,68,71,70,26,68,53,62,82,77,75,14,10,78,79
23,170,66,67,67,54,76,71,67,65,68,69,14,6,70,77
23,174,78,77,76,72,93,90,83,56,65,40,11,10,79,86
22,183,76,78,66,64,69,74,84,86,80,78,9,11,79,86
35,176,78,62,71,61,75,77,56,76,68,74,7,10,73,73
24,190,83,55,42,36,64,67,67,78,71,78,10,10,74,80
22,182,78,66,70,24,74,78,57,67,67,70,14,13,70,74
31,183,77,74,74,57,75,67,71,54,18,29,9,8,74,74
24,186,79,69,64,46,66,67,73,81,74,79,13,13,73,76
24,175,70,71,64,68,81,80,82,40,56,27,13,15,70,76
27,184,82,43,42,39,44,69,67,75,75,74,14,15,74,75
27,188,81,11,14,7,32,15,55,22,11,18,69,66,70,72
24,176,70,77,75,52,89,87,70,30,35,25,7,13,72,75
27,183,72,65,75,50,77,76,66,67,73,71,12,14,74,75
25,164,64,79,64,69,93,92,63,31,27,20,14,12,71,74
34,188,84,67,56,75,58,55,77,69,35,40,16,15,72,72
29,185,85,83,55,87,76,83,86,77,34,33,6,8,86,86
29,178,76,69,81,46,73,68,68,84,85,87,13,9,84,84
32,178,78,75,66,79,72,69,70,58,31,36,14,7,74,74
25,178,74,80,76,72,76,76,68,60,61,60,13,6,77,80
21,178,70,72,67,64,66,67,76,74,65,75,12,6,74,84
32,180,75,76,74,60,77,73,78,86,85,84,8,11,85,85
21,183,79,65,70,43,71,67,69,59,66,70,6,11,70,80
29,173,70,76,71,68,88,87,76,66,20,39,11,10,74,74
27,186,77,61,60,65,69,60,68,71,71,69,15,14,71,71
22,185,68,69,58,53,69,57,63,84,68,70,14,9,70,78
34,186,78,67,48,43,62,66,70,82,85,85,12,6,83,83
27,193,92,70,53,52,74,79,81,82,91,92,13,10,90,91
24,179,70,77,72,71,83,80,73,58,55,33,15,10,77,80
21,189,82,62,61,32,69,73,48,77,72,72,13,13,73,81
29,197,92,18,12,12,53,47,51,41,19,15,81,68,77,78
29,185,79,71,73,52,72,77,69,70,62,71,10,11,72,72
29,189,83,25,22,35,50,57,40,68,76,75,12,10,73,73
30,175,69,73,72,69,78,72,71,51,34,42,6,14,72,72
25,184,79,67,35,77,60,62,83,78,39,23,13,7,75,78
27,175,72,71,73,57,72,65,78,63,64,61,13,6,72,72
24,177,75,69,76,41,76,78,63,56,61,59,8,7,70,75
25,185,71,71,58,72,72,70,71,56,28,23,9,7,72,76
35,186,81,11,12,13,42,37,48,30,16,19,71,71,72,72
26,185,85,78,78,66,85,88,81,71,72,71,8,9,77,77
26,188,87,12,13,11,43,60,59,34,27,12,87,92,91,93
28,179,77,78,80,70,75,75,82,66,60,63,7,6,78,78
22,178,67,89,84,79,94,93,83,54,42,30,6,6,84,90
32,189,82,68,76,60,68,77,61,75,71,71,16,8,72,72
34,171,62,71,76,49,69,67,59,83,63,77,8,8,73,73
28,179,77,83,70,79,87,85,79,53,50,15,14,15,78,78
21,181,68,69,71,23,66,68,39,71,70,73,8,7,71,78
25,188,84,83,65,67,63,67,82,81,73,74,12,9,80,84
24,180,75,78,73,74,75,76,80,78,74,77,8,16,77,82
26,190,84,51,49,29,53,40,61,71,72,73,6,14,72,76
25,184,74,71,65,30,76,79,71,72,65,68,10,9,71,75
25,183,75,73,79,46,77,76,75,68,64,66,9,12,71,74
21,190,95,62,27,18,57,70,40,76,71,76,6,6,74,82
33,176,68,71,72,60,75,75,66,70,64,70,3,5,71,71
25,192,84,38,34,35,32,33,74,70,75,73,12,8,74,79
30,185,79,79,63,84,71,73,78,80,29,28,12,8,80,80
28,191,87,71,34,76,46,61,76,72,43,29,10,11,75,75
28,180,76,78,70,68,85,85,80,77,75,74,7,12,76,76
27,190,88,50,41,41,46,41,72,87,77,74,7,16,74,74
28,188,82,75,54,69,66,68,76,69,39,40,10,11,72,72
23,178,75,75,64,65,71,75,83,62,55,58,15,10,72,78
19,170,66,76,65,62,92,83,70,32,26,41,10,13,70,84
28,169,66,76,67,80,76,83,76,62,34,22,12,9,76,76
27,181,78,77,76,67,62,55,87,72,70,69,9,9,78,79
25,177,72,74,72,67,72,73,76,62,63,67,14,9,76,78
25,192,87,59,47,43,51,69,60,76,66,72,12,8,71,75
30,196,92,37,35,31,43,68,47,70,69,71,14,13,72,72
25,176,75,70,57,69,73,74,71,65,21,42,9,16,70,73
21,186,80,74,55,66,76,75,73,78,68,73,11,13,74,84
21,185,70,77,57,78,83,84,72,55,41,35,15,13,75,83
32,192,86,12,11,14,47,44,61,33,14,11,79,76,80,80
26,186,83,66,51,76,42,58,80,61,55,32,6,9,75,78
22,193,86,18,15,18,49,46,58,23,23,14,75,69,75,85
29,180,75,73,69,67,72,67,74,84,67,71,12,7,74,74
28,172,71,73,69,72,93,93,74,61,35,34,12,14,75,75
34,192,84,49,49,51,38,37,74,81,81,80,7,9,78,78
33,183,81,29,18,14,44,40,56,25,12,17,73,68,72,72
24,191,87,19,20,16,37,43,47,23,15,12,77,71,74,78
22,167,65,75,62,59,79,77,72,61,44,42,9,6,73,82
21,183,70,71,60,70,78,81,74,47,30,46,8,8,71,77
27,173,64,76,63,69,76,78,64,36,22,24,12,10,72,72
23,180,79,70,69,62,74,75,85,81,70,74,11,13,75,80
28,174,61,80,78,55,76,75,56,70,72,78,16,15,76,76
23,177,70,77,65,64,65,69,78,68,61,57,13,7,75,81
22,192,83,19,13,16,55,49,55,24,10,10,80,73,77,87
23,185,87,50,35,21,64,70,50,71,65,71,15,14,70,76
27,189,80,36,47,28,57,68,52,77,72,74,14,6,73,74
28,176,70,68,70,27,92,86,63,63,63,68,11,11,71,71
33,180,72,37,55,39,53,53,35,80,72,73,12,10,72,72
23,187,82,74,54,72,68,73,72,70,37,29,11,8,72,80
23,186,75,50,54,22,51,65,45,69,74,76,6,8,72,79
33,180,68,59,60,56,62,65,85,80,75,70,22,22,71,71
32,191,90,66,36,77,62,63,77,70,44,25,10,14,73,73
33,178,75,80,77,78,60,57,82,53,39,40,15,15,79,79
25,176,72,76,71,46,84,85,67,70,57,68,10,16,71,75
28,189,88,15,17,12,57,45,58,18,25,18,79,77,80,82
23,191,82,14,15,13,50,55,53,27,17,18,74,69,73,79
24,180,66,78,69,74,88,84,79,63,20,14,8,7,75,81
21,186,82,51,41,33,61,69,51,67,67,71,12,14,70,82
23,191,82,76,63,64,68,66,74,76,82,84,10,10,85,90
33,177,72,74,55,86,66,64,78,73,39,42,10,13,83,83
23,185,80,56,43,35,71,69,55,71,72,74,13,9,73,81
32,163,61,86,72,78,84,78,80,75,23,29,6,3,81,81
24,184,75,63,67,61,66,66,73,74,76,75,6,10,75,80
26,183,76,66,76,45,69,74,77,70,71,75,10,9,74,76
32,199,83,16,14,19,47,48,54,42,18,11,76,74,75,75
27,183,80,68,42,72,76,76,69,45,32,30,13,7,71,71
24,178,70,76,76,70,81,75,76,49,40,31,12,7,76,79
35,188,83,13,11,11,46,34,61,22,15,14,84,74,80,80
26,187,85,65,65,54,65,65,66,67,71,72,8,9,71,75
30,175,66,73,71,70,81,80,74,55,28,21,14,11,71,71
36,185,77,52,34,35,36,34,54,72,68,71,6,8,70,70
27,191,86,60,56,81,66,65,81,48,30,25,7,10,78,79
33,191,84,50,33,28,51,58,72,81,76,75,9,7,75,75
26,183,80,73,71,83,83,86,78,66,32,28,12,14,79,81
26,192,79,53,40,43,33,43,45,66,73,71,13,9,72,75
28,182,74,80,74,84,90,90,84,72,32,29,6,13,82,82
27,189,85,71,68,78,67,74,82,81,44,46,9,13,79,80
26,181,80,76,68,55,71,70,78,86,76,78,15,10,75,78
27,186,79,67,67,58,57,60,77,80,69,79,11,7,73,73
32,189,85,35,40,32,48,52,53,76,75,80,7,11,76,76
25,173,70,68,63,47,84,77,64,81,66,68,9,9,70,74
23,180,74,67,65,57,86,86,62,70,63,67,12,9,70,77
32,184,83,78,78,82,44,49,85,84,69,74,14,16,80,80
34,175,73,82,78,67,55,42,72,52,65,66,5,4,79,79
22,185,86,78,59,74,74,76,76,63,26,42,13,6,76,85
25,181,78,79,74,66,71,67,73,64,58,63,6,6,76,81
23,192,80,66,44,72,68,65,74,66,20,22,10,15,72,77
29,186,85,70,68,74,72,71,72,68,33,33,13,10,72,72
31,179,75,73,73,55,69,70,47,62,68,72,9,15,73,73
26,176,67,76,72,66,65,62,76,72,69,74,9,10,78,81
33,173,67,87,84,72,69,61,72,57,59,53,6,15,88,88
34,174,69,85,78,77,67,57,76,66,43,42,12,10,78,78
24,180,73,76,77,73,77,74,77,68,65,73,6,16,79,83
27,172,67,72,67,59,84,90,76,71,54,54,8,12,71,71
22,180,80,75,77,64,64,60,86,82,69,74,16,12,82,87
27,172,68,81,73,63,68,60,74,81,62,64,6,15,79,79
24,180,75,69,75,60,74,77,59,59,58,73,8,8,72,79
28,184,80,73,66,71,73,77,81,80,25,30,14,14,74,74
35,176,73,75,73,58,53,72,72,48,15,23,11,13,72,72
37,175,69,82,71,83,63,66,78,67,30,28,8,9,79,79
26,179,81,68,49,76,69,67,81,78,40,30,13,8,75,78
23,187,85,68,50,51,60,65,69,70,70,69,10,6,70,75
27,178,72,72,57,76,81,81,85,52,20,14,8,9,77,77
34,179,75,62,55,61,46,35,80,74,69,77,15,7,73,73
22,176,66,71,60,58,77,77,64,31,45,62,12,15,70,77
21,182,85,81,67,86,76,77,83,62,25,26,8,7,83,89
23,177,79,74,56,74,81,80,75,81,47,38,13,13,75,84
31,185,74,68,57,53,68,61,68,82,70,71,8,12,71,71
33,176,75,62,72,44,66,66,53,73,68,72,12,13,71,71
26,184,76,78,68,73,65,72,84,78,79,83,15,12,81,84
23,172,64,79,78,79,75,69,85,62,63,65,12,13,78,84
27,190,83,55,35,37,68,67,58,72,72,74,15,12,72,75
26,195,94,12,20,19,56,54,60,26,13,18,85,79,82,86
33,177,78,75,80,67,53,43,83,65,67,54,16,16,77,77
27,174,75,62,62,51,71,70,75,81,69,70,11,14,71,72
26,175,70,75,67,74,85,72,74,58,32,28,11,15,73,75
34,194,87,11,11,11,41,32,47,34,15,11,75,64,71,71
29,190,86,68,66,55,61,68,70,71,58,70,14,10,71,71
32,183,75,72,80,56,75,74,68,79,82,80,13,10,79,79
25,176,70,72,72,56,73,73,72,74,64,68,8,12,75,78
25,178,76,71,74,32,74,73,69,67,69,74,14,7,74,78
31,183,94,63,45,78,59,70,75,69,21,22,14,8,74,74
27,183,71,71,71,55,77,71,64,67,74,77,7,16,74,74
26,183,84,70,55,63,69,69,82,83,60,69,11,9,72,72
23,174,70,78,70,60,79,79,75,62,22,22,13,12,72,78
29,186,88,63,43,36,61,67,61,79,68,71,11,11,71,71
21,182,72,83,67,68,89,88,74,52,22,35,13,6,77,84
25,188,88,75,61,67,67,65,73,65,69,72,13,9,75,80
27,166,60,67,63,41,63,70,74,78,64,66,7,11,70,71
22,190,83,16,15,17,41,48,53,22,10,21,79,74,78,89
25,178,76,68,60,68,78,79,73,43,38,43,8,9,71,75
20,188,84,60,47,27,67,66,37,74,72,75,9,14,73,84
22,180,75,69,60,47,54,64,64,81,51,69,11,13,71,80
26,186,81,45,54,39,61,69,57,67,62,72,13,16,70,75
26,182,76,75,74,71,75,73,76,67,50,21,13,9,72,75
29,174,78,77,73,64,71,67,82,84,70,77,10,9,77,77
30,182,78,80,78,58,73,69,77,65,52,70,6,7,77,77
20,175,69,78,68,68,93,93,72,46,55,32,10,8,75,85
24,190,96,50,49,47,58,69,63,83,76,81,14,14,80,84
24,185,80,50,47,37,67,70,72,89,88,86,9,11,85,89
21,185,84,68,56,74,78,79,75,64,20,27,10,7,71,80
29,185,75,74,78,55,74,76,69,71,78,79,9,10,79,79
25,173,69,82,74,69,87,82,80,38,23,26,12,14,77,80
27,182,78,62,46,51,49,46,76,67,73,74,7,12,75,77
28,195,97,59,50,32,57,69,50,79,73,82,7,8,79,81
27,196,90,46,36,28,57,55,40,76,68,70,13,15,70,71
27,185,80,75,67,75,60,61,82,75,53,30,12,13,76,77
34,188,89,43,25,35,52,52,49,69,74,75,7,9,74,74
30,187,79,65,47,63,37,47,79,76,77,80,10,6,78,78
26,192,85,16,15,19,49,34,53,24,22,13,83,81,82,84
23,178,72,65,64,64,66,67,75,83,72,75,8,8,75,81
29,177,68,70,71,60,73,69,60,62,73,74,6,11,73,73
25,173,70,74,71,63,76,76,73,65,72,70,14,11,77,82
29,174,81,81,69,76,84,76,77,60,34,45,13,13,77,77
25,185,78,9,11,7,38,47,50,21,11,9,70,68,71,74
31,191,87,8,6,6,32,37,56,15,9,14,71,70,71,71
32,185,86,47,61,24,49,52,68,88,67,68,14,13,71,71
30,192,86,59,58,43,45,50,76,91,85,86,5,12,84,84
28,180,78,72,61,77,86,86,80,70,27,23,11,16,76,76
28,188,77,63,52,49,64,55,78,81,82,82,14,8,80,81
27,174,67,73,68,61,69,70,75,57,61,63,15,8,73,74
28,186,79,63,66,40,60,64,70,83,75,77,9,9,77,78
23,177,68,69,57,42,68,77,60,79,77,82,5,11,79,86
33,189,84,29,44,25,30,33,29,74,72,76,11,10,71,71
21,180,74,75,74,51,73,63,50,73,69,73,13,9,71,81
23,185,79,77,59,80,76,77,76,76,28,40,14,13,79,84
24,175,70,77,65,64,75,73,73,56,29,48,10,14,71,77
31,182,75,71,68,67,71,69,74,59,50,49,14,9,72,72
25,179,73,64,48,29,76,73,59,81,74,74,8,11,74,78
35,176,78,68,68,64,49,40,80,90,58,65,15,15,71,71
34,183,82,67,60,40,60,64,71,76,88,88,9,12,87,87
27,182,75,82,82,75,82,75,83,63,34,36,9,11,80,80
28,197,79,35,35,22,46,51,58,79,69,71,11,12,72,74
26,184,72,68,69,49,68,66,63,68,75,76,8,14,73,76
24,183,73,65,59,46,59,66,52,83,72,77,11,14,75,80
19,181,70,82,73,79,79,85,82,69,30,42,13,12,80,93
28,181,73,73,71,35,70,69,59,71,68,70,6,13,71,71
27,178,68,78,83,63,77,79,65,68,75,79,14,16,82,83
26,196,77,68,70,37,65,73,61,80,73,74,7,10,74,78
31,172,66,76,68,70,82,82,72,59,56,33,15,8,73,73
21,183,78,51,48,25,72,73,60,61,72,74,13,10,72,82
31,193,87,14,11,11,50,52,47,34,7,14,79,72,78,78
30,178,70,74,66,73,88,88,74,45,46,33,13,11,74,74
22,170,65,76,75,59,89,86,71,67,44,39,12,13,73,82
25,183,77,69,55,72,58,64,74,68,70,74,13,7,75,81
31,184,86,67,41,73,72,79,72,53,28,35,11,14,72,72
20,190,85,57,50,58,61,69,70,66,67,72,13,7,70,83
23,182,76,65,78,53,79,83,62,86,81,84,10,7,84,89
24,180,65,76,64,67,82,76,80,70,68,62,15,13,73,80
26,187,77,53,23,17,66,72,75,75,70,74,14,6,71,75
25,174,69,72,77,66,67,60,82,52,40,50,15,14,72,74
31,187,84,71,62,80,71,76,80,82,42,31,10,11,79,79
26,189,83,70,63,79,63,65,79,67,47,30,15,9,77,78
34,185,75,70,65,61,63,62,79,76,69,74,15,10,75,75
25,180,72,68,59,69,76,73,67,63,63,60,15,14,71,75
24,171,64,66,45,73,85,76,69,33,19,13,13,7,71,75
23,184,76,66,65,60,86,88,49,60,66,69,10,5,70,77
22,178,68,75,85,36,76,69,64,60,77,78,11,14,78,84
24,165,62,78,40,67,92,91,71,32,22,21,15,10,70,77
23,192,81,42,43,35,54,66,48,64,71,77,10,13,73,81
30,185,80,65,37,72,75,67,70,78,18,25,7,14,71,71
22,194,80,57,29,27,70,72,43,76,68,70,9,7,71,81
20,177,75,75,63,70,73,75,64,57,48,44,8,7,70,82
24,175,65,64,59,71,76,69,69,36,23,21,14,16,70,75
27,185,77,69,60,75,67,70,73,41,38,11,14,12,73,74
31,178,74,71,65,54,65,64,72,83,68,73,10,8,72,72
24,174,68,73,69,68,79,77,64,37,36,31,15,6,70,75
29,186,76,65,78,58,42,50,81,53,63,63,7,15,72,72
34,182,77,12,25,15,62,63,53,34,19,11,72,71,72,72
20,196,90,28,12,12,46,54,56,30,20,14,90,80,85,92
23,176,62,80,60,61,87,84,63,31,28,29,6,8,71,76
32,177,74,69,59,62,51,70,62,22,48,59,14,12,72,72
35,180,75,62,64,50,54,49,68,69,72,71,6,11,71,71
22,182,80,59,30,22,69,67,48,75,77,78,15,12,77,85
30,170,65,71,73,72,77,74,63,55,38,34,13,16,71,71
35,172,72,80,76,70,72,76,75,72,39,68,7,14,76,76
24,176,72,67,71,53,67,63,65,80,71,70,7,12,71,78
26,183,78,88,81,86,86,89,88,60,48,34,11,13,87,88
27,172,68,73,59,70,91,94,58,45,31,36,8,14,71,71
24,183,78,53,48,41,61,63,69,80,80,80,12,9,80,84
25,187,86,18,11,14,53,48,49,28,12,11,76,71,73,77
34,167,60,78,74,66,78,60,68,66,56,62,14,11,75,75
29,184,81,66,58,61,58,56,77,69,77,77,15,13,78,78
27,190,80,48,35,23,49,48,61,73,70,70,15,9,71,74
21,173,64,73,70,69,72,72,73,58,70,67,9,12,74,84
